시도,시군구,성별,문화예술(D-1),구직(D-10),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),교수(E-1),선원취업(E-10),회화(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),방문동거(F-1),거주(F-2),동반(F-3),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),기타
서울특별시,강남구,남,0,38,55,0,49,0,3,45,326,25,8,0,237,21,0,4,48,637,68,121,94,66,219,162,39,22,174,38
서울특별시,강남구,여,0,50,177,1,83,1,0,4,35,2,1,0,278,0,0,0,53,176,15,131,132,160,339,359,30,68,273,21
서울특별시,강동구,남,0,10,15,0,31,0,1,1,16,2,3,0,58,2,0,0,1,54,211,168,74,31,324,122,26,1,769,2
서울특별시,강동구,여,0,12,34,2,28,0,1,1,1,0,0,0,72,0,0,0,0,16,22,272,111,44,479,502,7,2,607,1
서울특별시,강북구,남,0,20,139,0,79,1,11,0,6,4,15,0,23,1,0,0,0,18,27,133,70,44,249,113,33,2,343,3
서울특별시,강북구,여,0,39,273,2,108,0,8,0,3,0,6,0,37,0,0,0,1,18,17,211,100,45,426,578,17,18,280,2
서울특별시,강서구,남,0,17,45,0,42,0,4,18,37,6,3,0,51,2,50,504,5,81,193,284,149,33,625,271,30,5,730,1
서울특별시,강서구,여,0,33,68,1,65,0,6,1,6,1,4,0,75,0,0,3,1,50,10,408,188,84,885,904,7,21,553,4
서울특별시,관악구,남,9,63,705,2,177,0,9,0,17,4,61,0,72,101,0,0,3,149,70,685,410,91,1751,410,28,24,3487,17
서울특별시,관악구,여,10,127,1057,0,500,0,3,0,6,2,28,0,76,30,0,0,7,130,15,864,533,179,2053,905,21,91,2642,8
서울특별시,광진구,남,1,87,1342,0,305,0,13,5,36,9,60,0,44,43,0,1,29,133,41,402,269,215,909,177,38,4,2062,6
서울특별시,광진구,여,0,199,2346,0,685,0,3,1,6,1,6,0,58,10,0,0,24,116,43,529,356,233,1170,618,21,41,1897,1
서울특별시,구로구,남,0,42,110,3,132,0,1,5,68,4,3,1,30,7,0,0,3,102,214,1476,852,27,3567,760,461,6,9505,4
서울특별시,구로구,여,0,47,172,5,77,0,7,1,4,2,2,0,33,2,0,0,0,51,39,1809,879,44,3555,1137,322,23,5220,3
서울특별시,금천구,남,0,16,31,6,27,1,1,7,24,2,0,0,13,7,0,0,12,75,336,871,380,27,2061,438,83,1,5859,0
서울특별시,금천구,여,0,20,64,8,24,0,0,0,3,1,0,0,19,0,0,0,8,26,57,1141,460,41,2056,769,24,7,3331,0
서울특별시,노원구,남,0,18,346,0,310,0,4,1,9,1,21,0,73,7,0,0,5,55,12,90,39,38,190,152,9,1,129,7
서울특별시,노원구,여,0,25,371,0,326,0,5,2,0,2,11,0,75,3,0,0,1,34,7,155,64,59,357,533,8,9,104,4
서울특별시,도봉구,남,0,3,34,0,34,0,3,1,3,1,1,0,32,1,0,0,0,17,180,98,33,22,115,94,9,0,109,4
서울특별시,도봉구,여,0,6,129,2,75,0,3,0,0,0,1,0,45,0,0,0,2,6,35,154,57,18,204,431,11,4,87,4
서울특별시,동대문구,남,1,123,1595,0,1351,0,18,7,47,32,63,1,60,61,0,0,6,111,70,222,207,178,588,214,96,9,794,7
서울특별시,동대문구,여,0,224,4027,2,1936,0,11,4,11,4,28,0,70,10,0,0,10,89,56,301,282,199,767,636,46,87,698,5
서울특별시,동작구,남,0,49,1065,0,390,0,6,2,9,0,30,0,28,21,0,1,15,111,37,370,251,28,896,208,54,4,1970,27
서울특별시,동작구,여,0,86,1877,0,629,0,2,0,8,0,7,0,28,3,0,0,2,62,10,411,277,64,1129,523,31,26,1513,16
서울특별시,마포구,남,1,48,479,0,218,22,22,102,324,21,53,2,106,28,0,2,15,446,52,175,267,150,765,220,113,51,377,250
서울특별시,마포구,여,1,165,1648,0,701,1,4,20,44,1,10,0,89,7,0,0,13,424,22,228,288,363,854,532,20,351,388,385
서울특별시,서대문구,남,4,50,878,0,475,4,16,38,61,7,42,0,66,69,0,0,6,225,16,145,282,125,1083,149,61,38,226,40
서울특별시,서대문구,여,2,156,3155,0,1387,1,12,8,20,1,11,0,97,16,0,0,4,260,17,214,274,222,1160,385,58,375,248,39
서울특별시,서초구,남,0,26,100,0,38,1,5,41,264,7,11,0,90,40,0,1,14,431,53,73,80,240,214,164,47,10,192,44
서울특별시,서초구,여,1,18,133,0,34,0,4,3,30,1,2,0,91,1,0,0,5,118,12,166,97,483,309,292,47,19,217,30
서울특별시,성동구,남,2,39,778,1,239,1,2,8,34,7,23,0,42,45,0,1,13,137,350,208,128,80,517,197,26,4,801,26
서울특별시,성동구,여,0,79,1180,0,295,0,2,3,9,0,4,0,56,14,0,0,9,55,56,270,203,129,621,473,4,17,702,13
서울특별시,성북구,남,1,79,1626,0,911,0,51,6,40,5,66,0,62,63,0,0,4,116,60,203,131,169,385,164,55,6,286,58
서울특별시,성북구,여,3,123,3019,0,1166,0,30,1,9,4,16,0,85,16,0,0,4,52,42,315,213,253,482,622,43,39,234,34
서울특별시,송파구,남,0,24,44,1,40,0,71,11,112,2,7,0,74,6,0,2,42,184,262,266,158,48,554,222,22,4,1094,10
서울특별시,송파구,여,0,12,45,1,25,0,36,1,9,0,0,0,161,0,0,0,48,55,17,357,169,99,735,675,15,20,932,5
서울특별시,양천구,남,0,11,11,2,9,0,3,3,8,1,3,0,54,2,0,0,4,38,84,213,96,4,428,179,28,2,575,3
서울특별시,양천구,여,0,6,24,4,18,0,4,0,0,0,1,0,65,0,1,0,1,12,18,268,122,15,554,565,13,7,404,1
서울특별시,영등포구,남,0,52,93,1,38,1,9,30,87,6,8,0,37,2,0,1,5,217,205,1669,859,24,4034,714,190,8,10076,59
서울특별시,영등포구,여,0,80,220,1,53,0,2,5,18,2,0,0,52,0,0,0,14,103,15,1978,957,73,3986,1035,35,64,6303,53
서울특별시,용산구,남,0,65,220,0,163,19,33,156,871,117,79,0,295,29,0,1,29,710,43,304,237,795,481,390,1578,29,406,1495
서울특별시,용산구,여,0,106,474,0,158,3,12,14,70,9,31,0,240,2,0,0,31,277,17,597,214,1562,561,409,184,67,368,1332
서울특별시,은평구,남,0,15,54,0,139,0,4,3,11,3,6,0,36,0,0,0,3,111,109,185,139,31,523,167,16,4,309,2
서울특별시,은평구,여,1,22,92,0,123,0,3,0,1,0,3,0,31,1,0,0,1,52,11,280,148,55,724,690,6,26,262,6
서울특별시,종로구,남,1,63,890,0,548,8,105,48,107,40,26,0,33,4,0,0,35,302,80,142,150,105,347,129,93,9,577,285
서울특별시,종로구,여,2,93,2098,0,623,3,57,19,19,8,5,0,23,2,0,0,19,140,17,232,163,218,402,266,32,65,603,251
서울특별시,중구,남,0,44,462,0,287,8,7,75,184,25,29,0,16,8,0,1,2,288,82,237,206,122,576,119,143,4,792,367
서울특별시,중구,여,0,73,981,0,519,1,17,28,49,20,6,0,17,1,1,0,4,109,39,312,229,242,582,285,86,52,877,270
서울특별시,중랑구,남,0,27,80,0,152,0,2,1,7,3,2,0,21,1,0,0,0,25,59,190,88,162,335,135,29,1,479,1
서울특별시,중랑구,여,0,41,180,0,180,0,1,0,2,5,0,0,24,1,0,0,0,21,30,298,129,114,531,710,12,10,463,2
